;SoC;Charge;Discharge;Energy prices;Cash flow
251;0.0;0.0;0.0;0.26169;0.0
252;0.0;2.71052631578947;0.0;0.24944;-0.6761136842105253
253;2.575;11.5;0.0;0.24769999999999998;-2.84855
254;13.5;0.0;0.0;0.25501;0.0
255;13.5;0.0;0.0;0.2779;0.0
256;13.5;0.0;0.0;0.28994;0.0
257;13.5;0.0;11.5;0.31639999999999996;3.6385999999999994
258;1.39473684210526;0.0;1.325;0.31589999999999996;0.4185674999999999
259;0.0;0.0;0.0;0.3092;0.0
260;0.0;0.0;0.0;0.28533;0.0
261;0.0;0.0;0.0;0.245;0.0
262;0.0;0.0;0.0;0.23522;0.0
263;0.0;0.0;11.5;0.21184;2.43616
264;0.0;0.0;0.0;0.19665000000000002;0.0
265;0.0;0.0;0.0;0.1871;0.0
266;0.0;0.0;0.0;0.18427000000000002;0.0
267;0.0;2.71052631578947;0.0;0.17958000000000002;-0.48675631578947304
268;2.575;11.5;0.0;0.17833000000000002;-2.0507950000000004
269;13.5;0.0;0.0;0.1935;0.0
270;13.5;0.0;0.0;0.23676;0.0
271;13.5;0.0;0.0;0.27318000000000003;0.0
272;13.5;0.0;11.5;0.30010000000000003;3.45115
273;1.39473684210526;0.0;1.325;0.29274;0.38788049999999996
274;0.0;0.0;0.0;0.2755;0.0
275;0.0;0.0;0.0;0.25865;0.0
276;0.0;0.0;0.0;0.24511000000000002;0.0
277;0.0;11.5;0.0;0.23208;-2.66892
278;10.925;2.71052631578947;0.0;0.23477;-0.6363502631578939
279;13.5;0.0;0.0;0.24001;0.0
280;13.5;0.0;0.0;0.255;0.0
281;13.5;0.0;1.325;0.28482;0.3773865
282;12.1052631578947;0.0;11.5;0.28597;3.288655
283;0.0;0.0;0.0;0.26903;0.0
284;0.0;0.0;0.0;0.2531;0.0
285;0.0;0.0;0.0;0.22279;0.0
286;0.0;0.0;0.0;0.21364;0.0
287;0.0;0.0;11.5;0.20022;2.30253
288;0.0;0.0;0.0;0.19;0.0
289;0.0;0.0;0.0;0.18872;0.0
290;0.0;0.0;0.0;0.18787;0.0
291;0.0;11.5;0.0;0.18288;-2.1031199999999997
292;10.925;2.71052631578947;0.0;0.18665;-0.5059197368421046
293;13.5;0.0;0.0;0.18741999999999998;0.0
294;13.5;0.0;0.0;0.19509;0.0
295;13.5;0.0;0.0;0.23626;0.0
296;13.5;0.0;0.0;0.24353;0.0
297;13.5;0.0;11.5;0.25758;2.9621699999999995
298;1.39473684210526;0.0;1.325;0.25417;0.33677524999999997
299;0.0;0.0;0.0;0.23;0.0
300;0.0;0.0;0.0;0.22312;0.0
301;0.0;11.5;0.0;0.214;-2.461
302;10.925;2.71052631578947;0.0;0.21488;-0.5824378947368413
303;13.5;0.0;0.0;0.22165;0.0
304;13.5;0.0;0.0;0.24344;0.0
305;13.5;0.0;1.325;0.26630000000000004;0.35284750000000004
306;12.1052631578947;0.0;11.5;0.274;3.1510000000000002
307;0.0;0.0;0.0;0.26294999999999996;0.0
308;0.0;0.0;0.0;0.25246;0.0
309;0.0;0.0;0.0;0.2301;0.0
310;0.0;0.0;0.0;0.21765;0.0
311;0.0;0.0;11.5;0.20799;2.3918850000000003
312;0.0;0.0;0.0;0.205;0.0
313;0.0;0.0;0.0;0.19996;0.0
314;0.0;0.0;0.0;0.19641999999999998;0.0
315;0.0;2.71052631578947;0.0;0.19277;-0.5225081578947361
316;2.575;11.5;0.0;0.19243000000000002;-2.2129450000000004
317;13.5;0.0;0.0;0.1976;0.0
318;13.5;0.0;0.0;0.2189;0.0
319;13.5;0.0;0.0;0.25924;0.0
320;13.5;0.0;1.325;0.28466;0.3771745
321;12.1052631578947;0.0;11.5;0.2925;3.3637499999999996
322;0.0;0.0;0.0;0.2741;0.0
323;0.0;0.0;0.0;0.25654000000000005;0.0
324;0.0;0.0;0.0;0.24374;0.0
325;0.0;2.71052631578947;0.0;0.21797;-0.5908134210526308
326;2.575;11.5;0.0;0.21300999999999998;-2.4496149999999997
327;13.5;0.0;0.0;0.22;0.0
328;13.5;0.0;0.0;0.23805;0.0
329;13.5;0.0;0.0;0.262;0.0
330;13.5;0.0;11.5;0.28067000000000003;3.2277050000000003
331;1.39473684210526;0.0;1.325;0.269;0.356425
332;0.0;0.0;0.0;0.24306999999999998;0.0
333;0.0;0.0;0.0;0.22561;0.0
334;0.0;0.0;0.0;0.21668;0.0
335;0.0;0.0;11.5;0.20596;2.36854
336;0.0;0.0;0.0;0.22200999999999999;0.0
337;0.0;0.0;0.0;0.21492;0.0
338;0.0;0.0;0.0;0.20961000000000002;0.0
339;0.0;0.0;0.0;0.19669999999999999;0.0
340;0.0;11.5;0.0;0.19304;-2.21996
341;10.925;2.71052631578947;0.0;0.19505;-0.5286881578947361
342;13.5;0.0;0.0;0.2009;0.0
343;13.5;0.0;0.0;0.21721000000000001;0.0
344;13.5;0.0;0.0;0.22376;0.0
345;13.5;0.0;11.5;0.23;2.645
346;1.39473684210526;0.0;0.0;0.22238999999999998;0.0
347;1.39473684210526;0.0;0.0;0.21492;0.0
348;1.39473684210526;0.0;0.0;0.20843;0.0
349;1.39473684210526;11.5;0.0;0.2;-2.3000000000000003
350;12.3197368421053;1.24238227146814;0.0;0.20309;-0.25231541551246456
351;13.5;0.0;0.0;0.21398;0.0
352;13.5;0.0;0.0;0.22632;0.0
